LotFrontage,LotArea,LotShape,OverallQual,OverallCond,MasVnrArea,ExterQual,BsmtQual,BsmtFinType1,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,SalePrice,MSZoning_C (all),MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,LandContour_Bnk,LandContour_HLS,LandContour_Low,LandContour_Lvl,LotConfig_Corner,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,HouseStyle_1.5Fin,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,RoofStyle_Flat,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,MasVnrType_BrkCmn,MasVnrType_BrkFace,MasVnrType_NA,MasVnrType_None,MasVnrType_Stone,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,GarageType_2Types,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageType_NA,MoSold_1,MoSold_2,MoSold_3,MoSold_4,MoSold_5,MoSold_6,MoSold_7,MoSold_8,MoSold_9,MoSold_10,MoSold_11,MoSold_12,YrSold_2006,YrSold_2007,YrSold_2008,YrSold_2009,YrSold_2010
51.0,6120,3.0,6.0,7.0,0.0,3.0,4.0,6.0,0,0,832,832,0.0,854,0,0,854,0,0,1,0,2,1,3.0,5,0,3.0,2,576,48,112,0,0,0,0,0,132000,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
69.0,11241,0.0,5.0,6.0,180.0,3.0,4.0,0.0,578,0,426,1004,0.0,1004,0,0,1004,1,0,1,0,2,1,3.0,5,1,0.0,2,480,0,0,0,0,0,0,700,149000,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72.0,10791,3.0,3.0,4.0,0.0,3.0,3.0,4.0,0,0,0,0,4.0,1296,0,0,1296,0,0,2,0,2,2,3.0,6,0,3.0,2,516,0,0,0,0,0,0,500,90000,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
66.0,13695,3.0,4.0,4.0,0.0,3.0,4.0,2.0,646,0,468,1114,0.0,1114,0,0,1114,1,0,1,1,3,1,2.0,6,0,3.0,2,576,0,102,0,0,0,0,0,159000,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
70.0,7560,3.0,4.0,5.0,0.0,3.0,4.0,3.0,504,0,525,1029,4.0,1339,0,0,1339,0,0,1,0,3,1,3.0,6,0,3.0,1,294,0,0,0,0,0,0,0,139000,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
101.0,14215,0.0,7.0,4.0,380.0,2.0,0.0,6.0,0,0,1158,1158,0.0,1158,1218,0,2376,0,0,3,1,4,1,2.0,9,1,2.0,3,853,240,154,0,0,0,0,0,325300,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
57.0,7449,3.0,6.0,6.0,0.0,3.0,4.0,6.0,0,0,637,637,0.0,1108,0,0,1108,0,0,1,0,3,1,2.0,6,1,3.0,1,280,0,0,205,0,0,0,0,139400,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
75.0,9742,3.0,7.0,4.0,281.0,2.0,2.0,6.0,0,0,1777,1777,0.0,1795,0,0,1795,0,0,2,0,3,1,2.0,7,1,2.0,2,534,171,159,0,0,0,0,0,230000,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
44.0,4224,3.0,4.0,6.0,0.0,3.0,2.0,2.0,840,0,200,1040,4.0,1060,0,0,1060,1,0,1,0,3,1,3.0,6,1,3.0,2,572,100,110,0,0,0,0,0,129900,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
69.0,8246,0.0,4.0,7.0,0.0,3.0,4.0,5.0,188,668,204,1060,0.0,1060,0,0,1060,1,0,1,0,3,1,2.0,6,1,3.0,1,270,406,90,0,0,0,0,0,154000,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
110.0,14230,3.0,7.0,4.0,640.0,2.0,2.0,6.0,0,0,1566,1566,0.0,1600,0,0,1600,0,0,2,0,3,1,2.0,7,1,2.0,3,890,0,56,0,0,0,0,0,256300,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
60.0,7200,3.0,4.0,6.0,0.0,3.0,4.0,1.0,234,486,180,900,4.0,900,0,0,900,0,1,1,0,3,1,2.0,5,0,3.0,2,576,222,32,0,0,0,0,0,134800,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
98.0,11478,3.0,7.0,4.0,200.0,2.0,0.0,2.0,1218,0,486,1704,0.0,1704,0,0,1704,1,0,2,0,3,1,2.0,7,1,2.0,3,772,0,50,0,0,0,0,0,306000,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
47.0,16321,0.0,4.0,5.0,0.0,3.0,4.0,1.0,1277,0,207,1484,4.0,1600,0,0,1600,1,0,1,0,2,1,3.0,6,2,2.0,1,319,288,258,0,0,0,0,0,207500,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
60.0,6324,0.0,3.0,5.0,0.0,3.0,4.0,6.0,0,0,520,520,1.0,520,0,0,520,0,0,1,0,1,1,1.0,4,0,3.0,1,240,49,0,87,0,0,0,0,68500,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
50.0,8500,3.0,3.0,3.0,0.0,3.0,4.0,6.0,0,0,649,649,4.0,649,668,0,1317,0,0,1,0,3,1,3.0,6,0,3.0,1,250,0,54,172,0,0,0,0,40000,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
69.0,8544,0.0,4.0,5.0,0.0,3.0,4.0,6.0,0,0,1228,1228,2.0,1228,0,0,1228,0,0,1,1,3,1,2.0,6,0,3.0,1,271,0,65,0,0,0,0,0,149350,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
85.0,11049,3.0,7.0,4.0,0.0,2.0,0.0,6.0,0,0,1234,1234,0.0,1234,0,0,1234,0,0,2,0,3,1,2.0,7,0,2.0,2,484,0,30,0,0,0,0,0,179900,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
70.0,10552,0.0,4.0,4.0,0.0,3.0,4.0,5.0,1018,0,380,1398,2.0,1700,0,0,1700,0,1,1,1,4,1,2.0,6,1,2.0,2,447,0,38,0,0,0,0,0,165500,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
60.0,7313,3.0,8.0,4.0,246.0,0.0,0.0,2.0,1153,0,408,1561,0.0,1561,0,0,1561,1,0,2,0,2,1,0.0,6,1,0.0,2,556,203,47,0,0,0,0,0,277500,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
108.0,13418,3.0,7.0,4.0,132.0,2.0,0.0,6.0,0,0,1117,1117,0.0,1132,1320,0,2452,0,0,3,1,4,1,2.0,9,1,0.0,3,691,113,32,0,0,0,0,0,309000,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
112.0,10859,3.0,4.0,4.0,0.0,3.0,2.0,6.0,0,0,1097,1097,0.0,1097,0,0,1097,0,0,1,1,3,1,3.0,6,0,3.0,2,672,392,64,0,0,0,0,0,145000,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
74.0,8532,3.0,4.0,5.0,650.0,3.0,4.0,5.0,1213,0,84,1297,2.0,1297,0,0,1297,0,1,1,0,3,1,3.0,5,1,0.0,2,498,0,0,0,0,0,0,0,153000,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
68.0,7922,3.0,4.0,6.0,0.0,3.0,4.0,2.0,731,0,326,1057,4.0,1057,0,0,1057,1,0,1,0,3,1,2.0,5,0,3.0,1,246,0,52,0,0,0,0,0,109000,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65.0,6040,3.0,3.0,4.0,0.0,3.0,3.0,4.0,0,0,0,0,4.0,1152,0,0,1152,0,0,2,0,2,2,1.0,6,0,1.0,0,0,0,0,0,0,0,0,0,82000,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
84.0,8658,3.0,5.0,4.0,101.0,3.0,4.0,5.0,643,0,445,1088,0.0,1324,0,0,1324,0,0,2,0,3,1,3.0,6,1,2.0,2,440,0,138,0,0,0,0,0,160000,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
115.0,16905,3.0,4.0,5.0,0.0,3.0,4.0,1.0,967,0,383,1350,2.0,1328,0,0,1328,0,1,1,1,2,1,3.0,5,2,2.0,1,308,0,104,0,0,0,0,0,170000,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
69.0,9180,0.0,4.0,6.0,0.0,3.0,2.0,0.0,747,93,0,840,2.0,884,0,0,884,1,0,1,0,2,1,2.0,5,0,2.0,2,504,240,0,0,0,0,0,0,144000,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
69.0,9200,0.0,4.0,5.0,0.0,3.0,2.0,3.0,280,491,167,938,4.0,938,0,0,938,1,0,1,0,3,1,3.0,5,0,3.0,1,308,145,0,0,0,0,0,0,130250,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
70.0,7945,3.0,4.0,5.0,0.0,3.0,4.0,0.0,179,506,465,1150,0.0,1150,0,0,1150,1,0,1,0,3,1,3.0,6,0,2.0,1,300,0,0,0,0,0,0,0,141000,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
61.0,7658,3.0,8.0,4.0,412.0,0.0,0.0,2.0,456,0,1296,1752,0.0,1752,0,0,1752,1,0,2,0,2,1,0.0,6,1,2.0,2,576,196,82,0,0,0,0,0,319900,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48.0,12822,0.0,6.0,4.0,0.0,2.0,0.0,2.0,1351,0,83,1434,0.0,1518,631,0,2149,1,0,1,1,1,1,2.0,6,1,2.0,2,670,168,43,0,0,198,0,0,239686,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
84.0,11096,3.0,7.0,4.0,0.0,2.0,2.0,2.0,24,0,1632,1656,0.0,1656,0,0,1656,0,0,2,0,3,1,2.0,7,0,2.0,3,826,0,146,0,0,0,0,0,249700,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
33.0,4456,3.0,3.0,4.0,0.0,3.0,4.0,6.0,0,0,736,736,2.0,736,716,0,1452,0,0,2,0,2,3,3.0,8,0,1.0,0,0,0,0,102,0,0,0,0,113000,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
66.0,7742,3.0,4.0,6.0,0.0,3.0,4.0,1.0,763,0,192,955,0.0,955,0,0,955,1,0,1,0,3,1,3.0,6,0,3.0,1,386,0,0,0,0,0,0,0,127000,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
