,age,education,housing,loan,month,day_of_week,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,job_admin.,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,marital_divorced,marital_married,marital_single,contact_cellular,contact_telephone,contact_unknown,poutcome_failure,poutcome_nonexistent,poutcome_success
14,41.0,3,1,1,2,0,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
15,45.0,1,1,1,2,0,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
16,40.0,3,1,1,2,0,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
17,42.0,3,0,1,2,0,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
18,46.0,1,0,1,2,0,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
19,37.0,1,0,1,2,0,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
20,42.0,1,1,0,2,0,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
21,39.0,2,1,1,2,0,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5144.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
22,55.0,3,0,1,2,0,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
23,30.0,3,1,0,2,0,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
24,40.0,2,0,1,2,0,3.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
25,46.0,0,1,1,2,0,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
26,58.0,1,1,1,2,0,2.0,999.0,0.0,1.1,94.0,-36.4,4.857,5191.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
27,42.0,1,1,1,2,0,2.0,999.0,0.0,1.1,94.0,-40.0,4.857,5191.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
28,40.0,1,1,1,2,0,3.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
29,49.0,2,0,0,2,0,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5144.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
30,38.0,2,1,1,2,0,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
31,36.0,2,0,1,2,0,3.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
32,32.0,2,1,1,2,0,3.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
33,33.0,3,1,1,2,0,2.0,999.0,0.0,1.1,93.994,-40.0,4.857,5191.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
34,38.0,2,1,1,2,0,3.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
35,46.0,3,1,1,2,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
36,41.0,3,0,1,2,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
37,44.0,2,1,1,2,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
38,30.0,1,0,1,2,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
39,43.0,3,1,1,2,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
40,46.0,1,1,1,2,1,1.0,999.0,0.0,1.1,94.0,-36.4,4.857,5191.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
41,46.0,3,1,1,2,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
42,32.0,1,0,1,2,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
43,42.0,3,0,1,2,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
44,40.0,2,0,1,2,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5144.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
45,44.0,2,1,0,2,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
46,32.0,3,1,1,2,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
47,39.0,2,1,1,2,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
48,40.0,3,0,1,2,1,3.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
49,32.0,3,1,1,2,1,2.0,999.0,0.0,1.1,94.0,-36.4,4.857,5191.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
50,49.0,3,1,1,2,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
51,40.0,2,0,1,2,1,4.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
52,47.0,1,0,1,2,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
53,32.0,3,1,1,2,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
54,38.0,3,1,1,2,1,1.0,999.0,0.0,1.1,94.0,-36.4,4.857,5191.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
55,38.0,2,0,1,2,1,2.0,999.0,0.0,1.1,93.994,-40.0,4.857,5191.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
56,46.0,3,1,1,2,1,1.0,999.0,0.0,1.1,93.994,-36.4,3.0,5191.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
57,36.0,3,1,1,2,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
58,46.0,3,1,1,2,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
59,53.0,3,1,1,2,1,6.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
60,34.0,0,0,1,2,1,4.0,999.0,0.0,1.1,93.994,-36.4,4.857,5144.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
61,24.0,3,0,1,2,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
62,29.0,3,0,1,2,1,3.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
63,30.0,1,1,0,2,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
64,38.0,3,0,1,2,2,2.0,999.0,0.0,1.1,93.994,-36.4,4.856,5191.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
65,37.0,0,1,1,2,2,2.0,999.0,0.0,1.1,93.994,-36.4,4.856,5191.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
66,38.0,3,0,1,2,2,2.0,999.0,0.0,1.1,93.994,-36.4,4.856,5191.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
67,50.0,3,1,1,2,2,4.0,999.0,0.0,1.1,93.994,-36.4,4.856,5191.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
68,33.0,3,1,1,2,2,1.0,999.0,0.0,1.1,93.994,-36.4,4.856,5191.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
69,47.0,2,0,1,2,2,1.0,999.0,0.0,1.1,93.994,-36.4,4.856,5191.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
70,36.0,2,0,1,2,2,3.0,999.0,0.0,1.1,93.994,-36.4,4.856,5191.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
71,36.0,3,1,1,2,2,1.0,999.0,0.0,1.1,93.994,-36.4,4.856,5191.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
72,39.0,1,0,1,2,2,1.0,999.0,0.0,1.1,93.994,-36.4,4.856,5191.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
73,31.0,3,0,1,2,2,1.0,999.0,0.0,1.1,93.994,-36.4,4.856,5191.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
74,52.0,3,1,1,2,2,2.0,999.0,0.0,1.1,93.994,-36.4,3.0,5144.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
75,28.0,1,1,1,2,2,2.0,999.0,0.0,1.1,93.994,-36.4,4.856,5191.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
76,43.0,3,1,1,2,2,4.0,999.0,0.0,1.1,93.994,-36.4,4.856,5144.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
77,53.0,3,1,1,2,2,2.0,999.0,0.0,1.1,93.994,-36.4,4.856,5144.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
78,31.0,1,1,1,2,2,2.0,999.0,0.0,1.1,93.994,-36.4,4.856,5191.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
79,40.0,2,1,1,2,2,2.0,999.0,0.0,1.1,93.994,-36.4,4.856,5191.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
80,40.0,3,1,1,2,2,1.0,999.0,0.0,1.1,93.994,-36.4,4.856,5191.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
81,59.0,2,1,1,2,2,1.0,999.0,0.0,1.1,93.994,-36.4,4.856,5191.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
82,44.0,0,1,1,2,2,2.0,999.0,0.0,1.1,93.994,-36.4,4.856,5191.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
83,42.0,1,1,1,2,2,1.0,999.0,0.0,1.1,93.994,-36.4,4.856,5191.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
84,47.0,3,1,1,2,2,1.0,999.0,0.0,1.1,93.994,-36.4,4.856,5191.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
85,31.0,0,1,1,2,2,1.0,999.0,0.0,1.1,94.0,-36.4,4.856,5144.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
86,35.0,0,0,1,2,2,1.0,999.0,0.0,1.1,93.994,-36.4,4.856,5191.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
87,37.0,1,0,1,2,2,3.0,999.0,0.0,1.1,93.994,-36.4,4.856,5191.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
88,44.0,3,0,1,2,2,1.0,999.0,0.0,1.1,93.994,-36.4,4.856,5191.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
89,30.0,3,0,1,2,2,1.0,999.0,0.0,1.1,93.994,-36.4,4.856,5191.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
90,58.0,0,1,1,2,2,2.0,999.0,0.0,1.1,93.994,-36.4,4.856,5144.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
91,40.0,1,0,1,2,2,4.0,999.0,0.0,1.1,93.994,-36.4,4.856,5191.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
92,57.0,3,0,1,2,2,3.0,999.0,0.0,1.1,93.994,-36.4,4.856,5191.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
93,29.0,3,1,1,2,2,1.0,999.0,0.0,1.1,93.994,-36.4,4.856,5191.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
94,44.0,0,0,1,2,2,2.0,999.0,0.0,1.1,93.994,-36.4,4.856,5191.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
95,38.0,0,0,1,2,2,2.0,999.0,0.0,1.1,93.994,-36.4,4.856,5191.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
96,39.0,2,1,1,2,2,5.0,999.0,0.0,1.1,93.994,-36.4,4.856,5191.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
97,33.0,3,0,1,2,2,2.0,999.0,0.0,1.1,93.994,-36.4,4.856,5191.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
98,41.0,3,0,1,2,2,4.0,999.0,0.0,1.1,93.994,-36.4,4.856,5191.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
99,53.0,1,1,1,2,2,2.0,999.0,0.0,1.1,93.994,-36.4,4.856,5191.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
100,49.0,3,1,1,2,2,2.0,999.0,0.0,1.1,93.994,-36.4,4.856,5191.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
101,41.0,2,1,0,2,3,2.0,999.0,0.0,1.1,93.994,-36.4,4.855,5191.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
102,58.0,3,0,0,2,3,2.0,999.0,0.0,1.1,93.994,-36.4,4.855,5191.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
103,42.0,3,1,1,2,3,1.0,999.0,0.0,1.1,93.994,-36.4,4.855,5191.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
104,40.0,3,1,1,2,3,1.0,999.0,0.0,1.1,93.994,-36.4,4.855,5191.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
105,44.0,3,0,1,2,3,1.0,999.0,0.0,1.1,94.0,-36.4,4.855,5191.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
106,36.0,1,1,1,2,3,1.0,999.0,0.0,1.1,93.994,-40.0,4.855,5191.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
107,30.0,2,0,1,2,3,1.0,999.0,0.0,1.1,93.994,-36.4,3.0,5191.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
108,32.0,3,0,1,2,3,1.0,999.0,0.0,1.1,93.994,-36.4,4.855,5191.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
109,49.0,0,1,1,2,3,1.0,999.0,0.0,1.1,93.994,-36.4,4.855,5191.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
110,38.0,1,1,1,2,3,1.0,999.0,0.0,1.1,93.994,-36.4,4.855,5191.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
111,52.0,1,1,1,2,3,1.0,999.0,0.0,1.1,93.994,-36.4,4.855,5191.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
112,42.0,1,1,1,2,3,1.0,999.0,0.0,1.1,93.994,-36.4,4.855,5191.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
113,25.0,2,1,1,2,3,1.0,999.0,0.0,1.1,93.994,-36.4,4.855,5191.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
114,28.0,3,0,1,2,3,1.0,999.0,0.0,0.0,93.994,-36.4,4.855,5191.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
115,27.0,1,1,1,2,3,1.0,999.0,0.0,1.1,93.994,-36.4,4.855,5144.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
116,49.0,0,1,1,2,3,2.0,999.0,0.0,1.1,93.994,-36.4,4.855,5191.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
117,39.0,1,1,1,2,3,2.0,999.0,0.0,1.1,93.994,-36.4,4.855,5191.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
118,48.0,3,0,1,2,3,1.0,999.0,0.0,1.1,94.0,-40.0,4.855,5191.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
119,30.0,2,0,1,2,3,2.0,999.0,0.0,1.1,93.994,-36.4,4.855,5191.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
120,42.0,1,0,1,2,3,3.0,999.0,0.0,1.1,93.994,-40.0,3.0,5191.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
121,37.0,3,1,1,2,3,2.0,999.0,0.0,1.1,93.994,-36.4,4.855,5191.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
122,38.0,3,1,1,2,3,1.0,999.0,0.0,1.1,93.994,-40.0,4.855,5191.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
123,55.0,3,1,1,2,3,1.0,999.0,0.0,1.1,93.994,-36.4,4.855,5191.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
124,27.0,1,0,1,2,3,1.0,999.0,0.0,1.1,93.994,-40.0,4.855,5191.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
125,27.0,1,0,0,2,3,1.0,999.0,0.0,1.1,93.994,-40.0,4.855,5191.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
126,45.0,2,1,1,2,3,4.0,999.0,0.0,1.1,93.994,-36.4,4.855,5191.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
127,36.0,3,0,1,2,3,1.0,999.0,0.0,1.1,93.994,-36.4,4.855,5191.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
128,35.0,1,0,1,2,3,1.0,999.0,0.0,1.1,93.994,-36.4,4.855,5191.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
129,36.0,2,1,1,2,3,1.0,999.0,0.0,1.1,93.994,-36.4,4.855,5191.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
130,50.0,1,1,0,2,3,1.0,999.0,0.0,1.1,93.994,-36.4,4.855,5191.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
131,40.0,1,1,1,2,3,2.0,999.0,0.0,1.1,93.994,-36.4,4.855,5191.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
132,40.0,1,1,1,2,3,6.0,999.0,0.0,0.0,93.994,-36.4,4.855,5191.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
133,39.0,1,0,1,2,3,2.0,999.0,0.0,1.1,93.994,-36.4,4.855,5191.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
134,41.0,2,1,1,2,3,2.0,999.0,0.0,1.1,93.994,-36.4,4.855,5191.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
135,33.0,1,1,0,2,3,2.0,999.0,0.0,1.1,93.994,-36.4,4.855,5191.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
136,54.0,3,1,1,2,3,3.0,999.0,0.0,0.0,93.994,-36.4,4.855,5191.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
137,43.0,3,0,1,2,3,4.0,999.0,0.0,1.1,93.994,-36.4,4.855,5191.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
138,33.0,3,0,1,2,3,3.0,999.0,0.0,1.1,93.994,-36.4,3.0,5191.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
139,36.0,2,1,1,2,3,3.0,999.0,0.0,1.1,93.994,-36.4,4.855,5191.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
140,30.0,1,0,1,2,3,3.0,999.0,0.0,1.1,94.0,-36.4,3.0,5191.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
141,42.0,3,0,1,2,3,4.0,999.0,0.0,1.1,93.994,-36.4,4.855,5191.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
142,27.0,2,1,1,2,3,2.0,999.0,0.0,1.1,93.994,-36.4,3.0,5191.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
143,38.0,2,1,1,2,3,5.0,999.0,0.0,1.1,93.994,-36.4,4.855,5191.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
144,32.0,3,0,1,2,4,4.0,999.0,0.0,1.1,93.994,-36.4,4.855,5191.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
145,33.0,2,0,1,2,4,3.0,999.0,0.0,1.1,93.994,-36.4,4.855,5191.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
146,51.0,2,1,1,2,4,2.0,999.0,0.0,1.1,93.994,-36.4,4.855,5144.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
